iter loss
1000 1913810.983963
2000 1390126.202259
3000 1136881.878555
4000 1001772.081768
5000 912023.279701
6000 904243.426628
7000 828471.618330
8000 786976.868793
9000 831156.274313
10000 798309.440456
11000 740763.401976
12000 754474.417307
13000 696002.363586
14000 717739.855036
15000 715833.383265
16000 710939.641129
17000 746735.428764
18000 686776.027210
19000 695202.613573
20000 702207.976036
21000 710955.338915
22000 711236.930035
23000 620872.623032
24000 659358.259005
25000 694008.743971
26000 673390.563959
27000 620353.455284
28000 661716.499170
29000 642359.081093
30000 653431.897907
31000 635498.169737
32000 707696.870026
33000 640301.205223
34000 674417.012852
35000 631191.922344
36000 701450.832989
37000 652643.902052
38000 610397.522478
39000 622114.502798
40000 671924.631159
