iter loss
1000 995080.008949
2000 908624.109726
3000 824659.705318
4000 733079.035088
5000 736549.217367
6000 738028.337301
7000 727922.518749
8000 680928.534878
9000 736839.094761
10000 702379.555849
11000 639692.239784
12000 675755.537397
13000 649943.077509
14000 645078.163691
15000 667891.942188
16000 651406.216526
17000 689832.861311
18000 646044.429159
19000 627587.705435
20000 639342.463736
21000 655306.520842
22000 668163.873812
23000 563906.987755
24000 629133.498760
25000 644396.461493
26000 627632.395130
27000 582290.180523
28000 625136.585941
29000 587954.975256
30000 610477.576920
31000 608831.177267
32000 670165.211641
33000 603117.837437
34000 631671.955339
35000 583936.110424
36000 664913.975344
37000 612055.115614
38000 572195.674078
39000 586154.755478
40000 639006.464207
